# Ausgabe:______________________________________________________
# Zeit	X	Y	Z	VX	VY	VZ	L	E
0.01	-9.995	-0.999	1.59581e-18	0.500099	0.10001	1.59581e-16	0.5	0.0304963
0.02	-9.99	-0.998	1.09437e-18	0.500197	0.10002	-5.01444e-17	0.5	0.0304962
0.03	-9.98499	-0.996999	-1.89058e-18	0.500296	0.10003	-2.98494e-16	0.5	0.0304962
0.04	-9.97999	-0.995999	-5.17368e-18	0.500395	0.100039	-3.2831e-16	0.5	0.0304962
0.05	-9.97499	-0.994999	-8.95483e-18	0.500494	0.100049	-3.78116e-16	0.5	0.0304961
0.06	-9.96998	-0.993998	-1.02017e-17	0.500593	0.100059	-1.24683e-16	0.5	0.0304961
0.07	-9.96497	-0.992997	-1.20211e-17	0.500692	0.100069	-1.81943e-16	0.5	0.0304961
0.08	-9.95996	-0.991996	-1.44741e-17	0.500791	0.100079	-2.45301e-16	0.5	0.030496
0.09	-9.95496	-0.990996	-1.96478e-17	0.50089	0.100089	-5.17368e-16	0.5	0.030496
0.1	-9.94995	-0.989995	-2.29004e-17	0.50099	0.100099	-3.25261e-16	0.5	0.030496
0.11	-9.94493	-0.988993	-2.39405e-17	0.501089	0.100109	-1.04016e-16	0.5	0.0304959
0.12	-9.93992	-0.987992	-2.66883e-17	0.501189	0.100119	-2.74777e-16	0.5	0.0304959
0.13	-9.93491	-0.986991	-2.76709e-17	0.501289	0.100128	-9.82558e-17	0.5	0.0304959
0.14	-9.9299	-0.98599	-3.08252e-17	0.501388	0.100138	-3.15435e-16	0.5	0.0304959
0.15	-9.92488	-0.984988	-3.32545e-17	0.501488	0.100148	-2.42929e-16	0.5	0.0304958
0.16	-9.91987	-0.983987	-3.87026e-17	0.501588	0.100158	-5.44812e-16	0.5	0.0304958
0.17	-9.91485	-0.982985	-4.36561e-17	0.501689	0.100168	-4.95345e-16	0.5	0.0304958
0.18	-9.90983	-0.981983	-5.01139e-17	0.501789	0.100178	-6.45778e-16	0.5	0.0304957
0.19	-9.90481	-0.980981	-5.32953e-17	0.501889	0.100188	-3.18146e-16	0.5	0.0304957
0.2	-9.89979	-0.979979	-5.95363e-17	0.50199	0.100198	-6.24094e-16	0.5	0.0304957
0.21	-9.89477	-0.978977	-6.52419e-17	0.50209	0.100208	-5.70561e-16	0.5	0.0304956
0.22	-9.88975	-0.977975	-7.23231e-17	0.502191	0.100218	-7.0812e-16	0.5	0.0304956
0.23	-9.88473	-0.976973	-7.63143e-17	0.502292	0.100228	-3.99122e-16	0.5	0.0304956
0.24	-9.8797	-0.97597	-7.82896e-17	0.502392	0.100238	-1.97528e-16	0.5	0.0304955
0.25	-9.87468	-0.974968	-8.285e-17	0.502493	0.100248	-4.56043e-16	0.5	0.0304955
0.26	-9.86965	-0.973965	-9.04225e-17	0.502594	0.100258	-7.57247e-16	0.5	0.0304955
0.27	-9.86462	-0.972963	-9.99465e-17	0.502696	0.100268	-9.52404e-16	0.5	0.0304954
0.28	-9.8596	-0.97196	-1.1173e-16	0.502797	0.100278	-1.17839e-15	0.5	0.0304954
0.29	-9.85457	-0.970957	-1.20448e-16	0.502898	0.100288	-8.71766e-16	0.5	0.0304954
0.3	-9.84954	-0.969954	-1.31534e-16	0.503	0.100298	-1.1086e-15	0.5	0.0304954
0.31	-9.84451	-0.968951	-1.45415e-16	0.503101	0.100308	-1.38812e-15	0.5	0.0304953
0.32	-9.83947	-0.967948	-1.56447e-16	0.503203	0.100318	-1.10318e-15	0.5	0.0304953
0.33	-9.83444	-0.966944	-1.70467e-16	0.503305	0.100328	-1.40201e-15	0.5	0.0304953
0.34	-9.82941	-0.965941	-1.82038e-16	0.503407	0.100338	-1.15705e-15	0.5	0.0304952
0.35	-9.82437	-0.964938	-1.94025e-16	0.503509	0.100348	-1.19872e-15	0.5	0.0304952
0.36	-9.81934	-0.963934	-2.06103e-16	0.503611	0.100358	-1.20787e-15	0.5	0.0304952
0.37	-9.8143	-0.96293	-2.20483e-16	0.503713	0.100368	-1.43792e-15	0.5	0.0304951
0.38	-9.80926	-0.961927	-2.33463e-16	0.503816	0.100378	-1.29799e-15	0.5	0.0304951
0.39	-9.80422	-0.960923	-2.44542e-16	0.503918	0.100388	-1.10792e-15	0.5	0.0304951
0.4	-9.79918	-0.959919	-2.56807e-16	0.504021	0.100398	-1.2265e-15	0.5	0.030495
0.41	-9.79414	-0.958915	-2.675e-16	0.504123	0.100408	-1.06929e-15	0.5	0.030495
0.42	-9.7891	-0.95791	-2.78471e-16	0.504226	0.100418	-1.09708e-15	0.5	0.030495
0.43	-9.78405	-0.956906	-2.89133e-16	0.504329	0.100428	-1.06625e-15	0.5	0.0304949
0.44	-9.77901	-0.955902	-2.9887e-16	0.504432	0.100438	-9.73749e-16	0.5	0.0304949
0.45	-9.77396	-0.954897	-3.11681e-16	0.504535	0.100448	-1.28105e-15	0.5	0.0304949
0.46	-9.76892	-0.953893	-3.24414e-16	0.504638	0.100458	-1.27326e-15	0.5	0.0304948
0.47	-9.76387	-0.952888	-3.35574e-16	0.504741	0.100469	-1.11605e-15	0.5	0.0304948
0.48	-9.75882	-0.951883	-3.49194e-16	0.504845	0.100479	-1.36203e-15	0.5	0.0304948
0.49	-9.75377	-0.950878	-3.60318e-16	0.504948	0.100489	-1.11232e-15	0.5	0.0304947
